,District,Member,Party,Prior experience,Education,Assumed office,Residence,Birth_date
289,North Carolina,Kathy Manning,Democratic,Attorney,"Harvard University (AB)
University of Michigan (JD)",2021,Greensboro,65
290,North Carolina,David Rouzer,Republican,North Carolina Senate,North Carolina State University (BS),2015,Wilmington,50
291,North Carolina,Richard Hudson,Republican,Businessman,University of North Carolina at Charlotte (BA),2013,Concord,50
292,North Carolina,Dan Bishop,Republican,"North Carolina Senate
North Carolina House of Representatives
Mecklenburg County Commission","University of North Carolina at Chapel Hill (BS, JD)",2019 (special),Charlotte,58
293,North Carolina,Patrick McHenry,Republican,North Carolina House of Representatives,"North Carolina State University
Belmont Abbey College (BA)",2005,Lake Norman,46
294,North Carolina,Madison Cawthorn,Republican,"Congressional staffer
Restaurant worker",Patrick Henry College,2021,Hendersonville,27
295,North Carolina,Alma Adams,Democratic,North Carolina House of Representatives,"North Carolina A&T State University (BS, MS)
Ohio State University (PhD)",2014 (special),Charlotte,76
296,North Carolina,Ted Budd,Republican,Businessman,"Appalachian State University (BS)
Dallas Theological Seminary (MA)
Wake Forest University (MBA)",2017,Advance,50
297,North Dakota,Kelly Armstrong,Republican,"North Dakota Senate
Chair of the North Dakota Republican Party","University of North Dakota (BA, JD)",2019,Dickinson,45
298,Ohio,Steve Chabot,Republican,"Cincinnati City Council
Hamilton County Commissioner
U.S. House","College of William & Mary (BA)
Northern Kentucky University (JD)",2011,Cincinnati,69
299,Ohio,Brad Wenstrup,Republican,Physician,"University of Cincinnati (BA)
Rosalind Franklin University (BS, DPM)",2013,Cincinnati,64
300,Ohio,Joyce Beatty,Democratic,Ohio House of Representatives,"Central State University (BA)
Wright State University (MS)
University of Cincinnati",2013,Columbus,72
301,Ohio,Jim Jordan,Republican,"Ohio Senate
Ohio House of Representatives","University of Wisconsin–Madison (BS)
Ohio State University (MA)
Capital University (JD)",2007,Urbana,58
302,Ohio,Bob Latta,Republican,"Wood County Commissioner
Ohio House of Representatives
Ohio Senate","Bowling Green State University (BA)
University of Toledo (JD)",2007,Bowling Green,66
303,Ohio,Bill Johnson,Republican,United States Air Force,"Troy University (BS)
Georgia Institute of Technology (MS)",2011,Marietta,67
304,Ohio,Bob Gibbs,Republican,"Ohio Senate
Ohio House of Representatives","Ohio State University, Wooster",2011,Lakeville,68
305,Ohio,Warren Davidson,Republican,Businessman,"United States Military Academy (BS)
University of Notre Dame (MBA)",2016 (special),Troy,52
306,Ohio,Marcy Kaptur,Democratic,"Domestic Policy Advisor, Carter Adm.","University of Wisconsin–Madison (BA)
University of Michigan (MUP)
Massachusetts Institute of Technology",1983,Toledo,76
307,Ohio,Mike Turner,Republican,Mayor of Dayton,"Ohio Northern University (BA)
Case Western Reserve University (JD)
University of Dayton (MBA)",2003,Dayton,62
308,Ohio,Shontel Brown,Democratic,Cuyahoga County Council,"Cuyahoga Community College (AS)
Wilberforce University (BS)",2021 (special),Warrensville Heights,47
309,Ohio,Troy Balderson,Republican,Ohio Senate,"Muskingum University
Ohio State University",2018 (special),Zanesville,60
310,Ohio,Tim Ryan,Democratic,Ohio Senate,"Youngstown State University
Bowling Green State University (BA)
University of New Hampshire, Concord (JD)",2003,Warren,49
311,Ohio,David Joyce,Republican,Geauga County Prosecutor,"University of Dayton (BS, JD)",2013,Russell Township,65
312,Ohio,Mike Carey,Republican,Lobbyist,"Marion Military Institute (AA)
Ohio State University (BA)",2021 (special),Columbus,51
313,Ohio,Anthony Gonzalez,Republican,Football player,"Ohio State University (BA)
Stanford University (MBA)",2019,Rocky River,38
314,Oklahoma,Kevin Hern,Republican,Businessman,"Arkansas Tech University (BS)
Georgia Institute of Technology
University of Arkansas, Little Rock (MBA)",2018 (special),Tulsa,60
315,Oklahoma,Markwayne Mullin,Republican,"Businessman
Mixed martial artist","Missouri Valley College
Oklahoma State University, Okmulgee",2013,Westville,45
316,Oklahoma,Frank Lucas,Republican,Oklahoma House of Representatives,Oklahoma State University–Stillwater (BS),1994 (special),Cheyenne,62
317,Oklahoma,Tom Cole,Republican,"Oklahoma Senate
Oklahoma Secretary of State
College professor","Grinnell College (BA)
Yale University (MA)
University of Oklahoma (PhD)",2003,Moore,73
318,Oklahoma,Stephanie Bice,Republican,Oklahoma Senate,"Oklahoma State University, Stillwater (BS)",2021,Oklahoma City,48
319,Oregon,Suzanne Bonamici,Democratic,"Oregon House of Representatives
Oregon State Senate","Lane Community College
University of Oregon (BA, JD)",2012 (special),Beaverton,67
320,Oregon,Cliff Bentz,Republican,Oregon State Senate,"Eastern Oregon University (BA)
Lewis and Clark College (JD)",2021,Ontario,70
321,Oregon,Earl Blumenauer,Democratic,"Oregon House of Representatives 
Multnomah County Commissioner 
Portland City Commissioner","Lewis & Clark College (BA, JD)",1996 (special),Portland,74
322,Oregon,Peter DeFazio,Democratic,Lane County Commissioner,"Tufts University (BA)
University of Oregon (MA)",1987,Springfield,75
323,Oregon,Kurt Schrader,Democratic,"Veterinarian
Oregon State Senate","Cornell University (BA)
University of Illinois Urbana-Champaign (BS, DVM)",2009,Canby,70
324,Pennsylvania,Brian Fitzpatrick,Republican,"FBI agent
Special Assistant U.S. Attorney","La Salle University (BS)
Pennsylvania State University (MBA)
Pennsylvania State University, Carlisle (JD)",2017,Levittown,48
325,Pennsylvania,Brendan Boyle,Democratic,Pennsylvania House of Representatives,"University of Notre Dame (BA)
Harvard University (MPP)",2015,Philadelphia,45
326,Pennsylvania,Dwight Evans,Democratic,Pennsylvania House of Representatives,"Community College of Philadelphia (AA)
La Salle University (BA)",2016 (special),Philadelphia,68
327,Pennsylvania,Madeleine Dean,Democratic,Pennsylvania House of Representatives,"La Salle University (BA)
Widener University (JD)",2019,Jenkintown,63
328,Pennsylvania,Mary Gay Scanlon,Democratic,Attorney,"Colgate University (BA)
University of Pennsylvania (JD)",2018 (special),Swarthmore,63
329,Pennsylvania,Chrissy Houlahan,Democratic,"Entrepreneur
U.S. Air Force","Stanford University (BS)
Massachusetts Institute of Technology (MS)",2019,Devon,55
330,Pennsylvania,Susan Wild,Democratic,Solicitor of Allentown,"American University (BA)
George Washington University (JD)",2018 (special),Allentown,65
331,Pennsylvania,Matt Cartwright,Democratic,Attorney,"Hamilton College, New York (BA)
University of Pennsylvania (JD)",2013,Moosic,61
332,Pennsylvania,Dan Meuser,Republican,Secretary of Revenue of Pennsylvania,"State University of New York Maritime College
Cornell University (BA)",2019,Dallas,58
333,Pennsylvania,Scott Perry,Republican,"Pennsylvania House of Representatives
Businessman
U.S. Army","Pennsylvania State University (BS)
United States Army War College (MS)",2013,Dillsburg,60
334,Pennsylvania,Lloyd Smucker,Republican,Pennsylvania Senate,"Lebanon Valley College
Franklin and Marshall College",2017,Lancaster,58
335,Pennsylvania,Fred Keller,Republican,Pennsylvania House of Representatives,–,2019 (special),Middleburg,56
336,Pennsylvania,John Joyce,Republican,Dermatologist,"Pennsylvania State University, Altoona
Pennsylvania State University, University Park (BS)
Temple University (MD)",2019,Hollidaysburg,65
337,Pennsylvania,Guy Reschenthaler,Republican,"Pennsylvania Senate
Judge
U.S. Navy","Pennsylvania State University, Behrend (BA)
Duquesne University (JD)",2019,Peters Township,39
338,Pennsylvania,Glenn Thompson,Republican,Chair of the Centre County Republican Committee,"Pennsylvania State University (BS)
Temple University (MEd)",2009,Howard,63
339,Pennsylvania,Mike Kelly,Republican,Butler City Council,University of Notre Dame (BA),2011,Butler,74
340,Pennsylvania,Conor Lamb,Democratic,"Assistant U.S. Attorney for the Western District of Pennsylvania
U.S. Marine Corps","University of Pennsylvania (BA, JD)",2018 (special),Mt. Lebanon,38
341,Pennsylvania,Mike Doyle,Democratic,Pennsylvania State Senate Chief of Staff,Pennsylvania State University (BS),1995,Pittsburgh,69
342,Rhode Island,David Cicilline,Democratic,"Mayor of Providence
Rhode Island House of Representatives","Brown University (BA)
Georgetown University (JD)",2011,Providence,61
343,Rhode Island,James Langevin,Democratic,"Secretary of State of Rhode Island
Rhode Island House of Representatives","Rhode Island College (BA)
Harvard University (MPA)",2001,Warwick,58
344,South Carolina,Nancy Mace,Republican,South Carolina House of Representatives,"The Citadel (BS)
University of Georgia (MS)",2021,Charleston,44
345,South Carolina,Joe Wilson,Republican,South Carolina Senate,"Washington and Lee University (BA)
University of South Carolina (JD)",2001 (special),Springdale,75
346,South Carolina,Jeff Duncan,Republican,South Carolina House of Representatives,Clemson University (BA),2011,Laurens,56
347,South Carolina,William Timmons,Republican,"Attorney
Entrepreneur","George Washington University (BA)
University of South Carolina (MA, JD)",2019,Greenville,38
348,South Carolina,Ralph Norman,Republican,"South Carolina House of Representatives
Real estate developer",Presbyterian College (BS),2017 (special),Rock Hill,69
349,South Carolina,Jim Clyburn,Democratic,"Political aide
Teacher",South Carolina State University (BA),1993,Columbia,82
350,South Carolina,Tom Rice,Republican,"Attorney
Businessman
Horry County Council Chair","University of South Carolina (BS, MA, JD)",2013,Myrtle Beach,65
351,South Dakota,Dusty Johnson,Republican,"Chief of Staff to the Governor of South Dakota
South Dakota Public Utilities Commission","University of South Dakota (BA)
University of Kansas (MPA)",2019,Mitchell,45
352,Tennessee,Diana Harshbarger,Republican,Pharmacist,"East Tennessee State University (BS)
Mercer University (PharmD)",2021,Kingsport,62
353,Tennessee,Tim Burchett,Republican,"Mayor of Knox County
Tennessee Senate
Tennessee House of Representatives","University of Tennessee,
Knoxville (BS)",2019,Knoxville,58
354,Tennessee,Chuck Fleischmann,Republican,Attorney,"University of Illinois Urbana-Champaign (BA)
University of Tennessee (JD)",2011,Chattanooga,59
355,Tennessee,Scott DesJarlais,Republican,Physician,"University of South Dakota (BS, MD)",2011,Sherwood,58
356,Tennessee,Jim Cooper,Democratic,"U.S. House
College professor","University of North Carolina at Chapel Hill (BA)
Oriel College, Oxford (MA)
Harvard University (JD)",2003,Nashville,68
357,Tennessee,John Rose,Republican,Commissioner of Agriculture of Tennessee,"Tennessee Technological University (BS)
Purdue University, West Lafayette (MS)
Vanderbilt University (JD)",2019,Cookeville,57
358,Tennessee,Mark E. Green,Republican,Tennessee Senate,"United States Military Academy (BS)
University of Southern California (MA)
Wright State University (MD)",2019,Clarksville,57
359,Tennessee,David Kustoff,Republican,Attorney for the United States District Court for the Western District of Tennessee,"University of Memphis (BA, JD)",2017,Germantown,55
360,Tennessee,Steve Cohen,Democratic,"Tennessee Senate
Attorney","Vanderbilt University (BA)
University of Memphis (JD)",2007,Memphis,73
361,Texas,Louie Gohmert,Republican,Texas appeals court judge,"Texas A&M University (BA)
Baylor University (JD)",2005,Tyler,69
362,Texas,Dan Crenshaw,Republican,U.S. Navy SEAL,"Tufts University (BA)
Harvard University (MPA)",2019,Houston,38
363,Texas,Van Taylor,Republican,"Texas Senate
Texas House of Representatives","Harvard University (BA, MBA)",2019,Plano,50
364,Texas,Pat Fallon,Republican,"Texas Senate
Texas House of Representatives
United States Air Force second lieutenant",University of Notre Dame (BA),2021,Sherman,54
365,Texas,Lance Gooden,Republican,Texas House of Representatives,"University of Texas, Austin (BA, BBA)",2019,Terrell,39
366,Texas,Jake Ellzey,Republican,"Texas House of Representatives
United States Navy commander",United States Naval Academy (BS),2021 (special),Midlothian,52
367,Texas,Lizzie Pannill Fletcher,Democratic,Attorney,"Kenyon College (BA)
College of William and Mary (JD)",2019,Houston,47
368,Texas,Kevin Brady,Republican,Texas House of Representatives,University of South Dakota (BA),1997,The Woodlands,67
369,Texas,Al Green,Democratic,"Harris County Justice of the Peace
Houston NAACP president","Florida A&M University
Tuskegee University (BA)
Texas Southern University (JD)",2005,Houston,75
370,Texas,Michael McCaul,Republican,"Attorney
Federal prosecutor","Trinity University (BA)
St. Mary's University, Texas (JD)",2005,Austin,60
371,Texas,August Pfluger,Republican,"U.S. National Security Council
United States Air Force Lieutenant colonel","United States Air Force Academy (BS)
Embry–Riddle Aeronautical University (MS) 
Air University (MS)
Georgetown University (MS)",2021,San Angelo,43
372,Texas,Kay Granger,Republican,Mayor of Fort Worth,Texas Wesleyan University (BA),1997,Fort Worth,79
373,Texas,Ronny Jackson,Republican,"Chief Medical Advisor to the President
Physician to the President
United States Navy Rear admiral","Texas A&M University (BS)
University of Texas Medical Branch (MD)",2021,Amarillo,55
374,Texas,Randy Weber,Republican,"Texas House of Representatives
Pearland City Council","Alvin Community College
University of Houston–Clear Lake (BS)",2013,Friendswood,69
375,Texas,Vicente Gonzalez,Democratic,"Food processing executive
Texas State Board of Education","Embry–Riddle Aeronautical University (BA)
Texas Wesleyan University (JD)",2017,McAllen,55
376,Texas,Veronica Escobar,Democratic,"El Paso County Commission
El Paso County Judge","University of Texas, El Paso (BA)
New York University (MA)",2019,El Paso,53
377,Texas,Pete Sessions,Republican,U.S. House,Southwestern University (BS),2021,Waco,67
378,Texas,Sheila Jackson Lee,Democratic,"Houston City Council 
Municipal judge","Yale University (BA) 
University of Virginia (JD)",1995,Houston,72
379,Texas,Jodey Arrington,Republican,"Educator
Public administrator
White House aide","Texas Tech University (BA, MPA)",2017,Lubbock,50
380,Texas,Joaquin Castro,Democratic,Texas House of Representatives,"Stanford University (BA)
Harvard University (JD)",2013,San Antonio,48
381,Texas,Chip Roy,Republican,First Assistant Attorney General of Texas,"University of Virginia (BS, MS)
University of Texas, Austin (JD)",2019,Austin,50
382,Texas,Troy Nehls,Republican,Sheriff of Fort Bend County,"Liberty University (BA)
University of Houston–Downtown (MA)",2021,Richmond,54
383,Texas,Tony Gonzales,Republican,United States Navy Master Chief Petty Officer,"Chaminade University (AA)
Excelsior College (BS)
American Public University (MA)",2021,San Antonio,41
384,Texas,Beth Van Duyne,Republican,Mayor of Irving,Cornell University (BA),2021,Irving,51
385,Texas,Roger Williams,Republican,Secretary of State of Texas,Texas Christian University (BA),2013,Austin,73
386,Texas,Michael C. Burgess,Republican,Physician,"University of North Texas (BS, MS)
University of Texas, Houston (MD)
University of Texas at Dallas (MS)",2003,Pilot Point,71
387,Texas,Michael Cloud,Republican,Chair of the Victoria County Republican Party,Oral Roberts University (BS),2018 (special),Victoria,47
388,Texas,Henry Cuellar,Democratic,"Texas House of Representatives
Texas Secretary of State","Laredo Community College
Georgetown University (BA)
University of Texas at Austin (JD, PhD)
Texas A&M International University (MA)",2005,Laredo,67
389,Texas,Sylvia Garcia,Democratic,Texas Senate,"Texas Woman's University (BA)
Texas Southern University (JD)",2019,Houston,72
390,Texas,Eddie Bernice Johnson,Democratic,"Texas Senate
Nurse","St Mary's College, Indiana
Texas Christian University (BS)
Southern Methodist University (MPA)",1993,Dallas,86
391,Texas,John Carter,Republican,Texas state district judge,"Texas Tech University (BA)
University of Texas at Austin (JD)",2003,Round Rock,80
392,Texas,Colin Allred,Democratic,"Attorney
Football player","Baylor University (BA)
University of California, Berkeley (JD)",2019,Dallas,39
393,Texas,Marc Veasey,Democratic,Texas House of Representatives,Texas Wesleyan University (BA),2013,Fort Worth,51
394,Texas,Mayra Flores,Republican,Respiratory therapist,"Texas State Technical College, Harlingen (AA)
South Texas College (BS)",2022 (special),McAllen,36
395,Texas,Lloyd Doggett,Democratic,"Texas Senate
Texas Supreme Court justice
College professor","University of Texas at Austin (BA, JD)",1995,Austin,75
396,Texas,Brian Babin,Republican,"Lower Neches Valley Authority
Texas Historical Commission
Mayor of Woodville","Lamar University (BS)
University of Texas, Houston (DDS)",2015,Woodville,74
397,Utah,Blake Moore,Republican,United States Foreign Service officer,"University of Utah (BA)
Northwestern University (MS)",2021,Salt Lake City,42
398,Utah,Chris Stewart,Republican,"Author
Businessman",Utah State University (BA),2013,Farmington,62
399,Utah,John Curtis,Republican,Mayor of Provo,Brigham Young University (BS),2017 (special),Provo,62
400,Utah,Burgess Owens,Republican,"Businessman 
National Football League player",University of Miami (BS),2021,Salt Lake City,71
401,Vermont,Peter Welch,Democratic,Vermont Senate President Pro Tempore,"College of the Holy Cross (BA)
University of California, Berkeley (JD)",2007,Norwich,75
402,Virginia,Rob Wittman,Republican,"Mayor of Montross 
Westmoreland County Board of Supervisors
Virginia House of Delegates","Virginia Tech (BS) 
University of North Carolina at Chapel Hill (MPH) 
Virginia Commonwealth University (PhD)",2007 (special),Montross,63
403,Virginia,Elaine Luria,Democratic,U.S. Navy Commander,"United States Naval Academy (BS)
Old Dominion University (MS)",2019,Norfolk,47
404,Virginia,Bobby Scott,Democratic,"Virginia Senate
Virginia House of Delegates","Harvard University (BA)
Boston College (JD)",1993,Newport News,75
405,Virginia,Donald McEachin,Democratic,"Virginia Senate
Virginia House of Delegates","American University (BA)
University of Virginia (JD)
Virginia Union University (MDiv)",2017,Richmond,60
406,Virginia,Bob Good,Republican,"Liberty University Athletic Director 
Campbell County Board of Supervisors","Liberty University (BS, MBA)",2021,Evington,57
407,Virginia,Ben Cline,Republican,Virginia House of Delegates,"Bates College (BA)
University of Richmond (JD)",2019,Rockbridge County,50
408,Virginia,Abigail Spanberger,Democratic,CIA operations officer,"University of Virginia (BA)
Purdue University (MBA)",2019,Glen Allen,43
409,Virginia,Don Beyer,Democratic,"U.S. Ambassador to Switzerland and Liechtenstein
Lieutenant Governor of Virginia",Williams College (BA),2015,Alexandria,72
410,Virginia,Morgan Griffith,Republican,Virginia House of Delegates,"Emory and Henry College (BA) 
Washington and Lee University (JD)",2011,Salem,64
411,Virginia,Jennifer Wexton,Democratic,Virginia Senate,"University of Maryland, College Park (BA)
College of William and Mary (JD)",2019,Leesburg,54
412,Virginia,Gerry Connolly,Democratic,Fairfax County Board of Supervisors Chair,"Maryknoll College (Glen Ellyn, Illinois) (BA)
Harvard University (MPA)",2009,Fairfax,72
413,Washington,Suzan DelBene,Democratic,Washington Department of Revenue Director,"Reed College (BS)
University of Washington (MBA)",2012 (special),Medina,60
414,Washington,Rick Larsen,Democratic,Snohomish County Council,"Pacific Lutheran University (BA)
University of Minnesota (MPA)",2001,Everett,57
415,Washington,Jaime Herrera Beutler,Republican,Washington House of Representatives,"Bellevue College
University of Washington (BA)",2011,Battle Ground,43
416,Washington,Dan Newhouse,Republican,Washington House of Representatives,Washington State University (BS),2015,Sunnyside,67
417,Washington,Cathy McMorris Rodgers,Republican,Washington House of Representatives,"Pensacola Christian College (BA)
University of Washington (MBA)",2005,Spokane,53
418,Washington,Derek Kilmer,Democratic,Washington State Senate,"Princeton University (BA)
University of Oxford (MA, PhD)",2013,Gig Harbor,48
419,Washington,Pramila Jayapal,Democratic,Washington State Senate,"Georgetown University (BA)
Northwestern University (MBA)",2017,Seattle,57
420,Washington,Kim Schrier,Democratic,Pediatrician,"University of California, Berkeley (BS)
University of California, Davis (MD)",2019,Sammamish,54
421,Washington,Adam Smith,Democratic,Washington State Senate,"Western Washington University
Fordham University (BA)
University of Washington (JD)",1997,Bellevue,57
422,Washington,Marilyn Strickland,Democratic,Mayor of Tacoma,"University of Washington (BA)
Clark Atlanta University (MBA)",2021,Tacoma,60
423,West Virginia,David McKinley,Republican,"West Virginia House of Delegates
Businessman",Purdue University (BS),2011,Wheeling,75
424,West Virginia,Alex Mooney,Republican,Maryland Senate,Dartmouth College (BA),2015,Charles Town,51
425,West Virginia,Carol Miller,Republican,West Virginia House of Delegates,"Columbia College, South Carolina (BA)",2019,Huntington,71
426,Wisconsin,Bryan Steil,Republican,"Congressional aide
Attorney","Georgetown University (BS)
University of Wisconsin–Madison (JD)",2019,Janesville,41
427,Wisconsin,Mark Pocan,Democratic,Wisconsin State Assembly,University of Wisconsin–Madison (BA),2013,Vermont,58
428,Wisconsin,Ron Kind,Democratic,County Prosecutor,"Harvard University (BA)
London School of Economics
(MA)
University of Minnesota (JD)",1997,La Crosse,59
429,Wisconsin,Gwen Moore,Democratic,"Wisconsin State Senate
Wisconsin State Assembly",Marquette University (BA),2005,Milwaukee,71
430,Wisconsin,Scott Fitzgerald,Republican,Wisconsin State Senate,University of Wisconsin–Oshkosh (BS),2021,Clyman,58
431,Wisconsin,Glenn Grothman,Republican,"Wisconsin Senate
Wisconsin State Assembly","University of Wisconsin–Madison (BA, JD)",2015,Glenbeulah,67
432,Wisconsin,Tom Tiffany,Republican,"Wisconsin Senate
Wisconsin State Assembly",University of Wisconsin–River Falls (BS),2020 (special),Minocqua,64
433,Wisconsin,Mike Gallagher,Republican,"Political advisor
U.S. Marine Corps","Princeton University (BA)
National Intelligence University (MS)
Georgetown University (MA, MS, PhD)",2017,Green Bay,38
434,Wyoming,Liz Cheney,Republican,Principal Deputy Assistant Secretary of State for Near Eastern Affairs,"Colorado College (BA)
University of Chicago (JD)",2017,Wilson,56
